#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 6 (Sou Matome N2) — Japanese vocabulary: Kanji/Vocabulary/Reading words
<div class="front-main">得</div><div class="front-example-sentence-1">早めに予約すると得です。</div>	<div class="back-main-reading">とく</div><div class="back-main-english">A profit/benefit</div><div class="back-example-sentence-1-reading">はやめによやくするととくです。</div><div class="back-example-sentence-1-english">It's a benefit to reserve early.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">得る</div><div class="front-example-sentence-1">この仕事で貴重な経験を得た。</div>	<div class="back-main-reading">える</div><div class="back-main-english">Obtain</div><div class="back-example-sentence-1-reading">このしごとできちょうなけいけんをえた。</div><div class="back-example-sentence-1-english">I gained valuable experience from this job.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">納得</div><div class="front-example-sentence-1">彼の説明を聞いて納得した。</div>	<div class="back-main-reading">なっとく</div><div class="back-main-english">Assent/understanding</div><div class="back-example-sentence-1-reading">かれのせつめいをきいてなっとくした。</div><div class="back-example-sentence-1-english">I was convinced after hearing his explanation.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">心得る</div><div class="front-example-sentence-1">彼はマナーを心得ている。</div>	<div class="back-main-reading">こころえる</div><div class="back-main-english">Understand/be well aware of</div><div class="back-example-sentence-1-reading">かれはマナーをこころえている。</div><div class="back-example-sentence-1-english">He is well versed in manners.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">広告</div><div class="front-example-sentence-1">新聞に広告を出した。</div>	<div class="back-main-reading">こうこく</div><div class="back-main-english">An advertisement</div><div class="back-example-sentence-1-reading">しんぶんにこうこくをだした。</div><div class="back-example-sentence-1-english">I placed an ad in the newspaper.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">警告</div><div class="front-example-sentence-1">医師から警告を受けた。</div>	<div class="back-main-reading">けいこく</div><div class="back-main-english">Warning/caution</div><div class="back-example-sentence-1-reading">いしからけいこくをうけた。</div><div class="back-example-sentence-1-english">I received a warning from the doctor.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">告げる</div><div class="front-example-sentence-1">彼女に別れを告げた。</div>	<div class="back-main-reading">つげる</div><div class="back-main-english">Inform</div><div class="back-example-sentence-1-reading">かのじょにわかれをつげた。</div><div class="back-example-sentence-1-english">I told her it was over.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">税金</div><div class="front-example-sentence-1">毎年、税金を納める。</div>	<div class="back-main-reading">ぜいきん</div><div class="back-main-english">A tax</div><div class="back-example-sentence-1-reading">まいとし、ぜいきんをおさめる。</div><div class="back-example-sentence-1-english">I pay taxes every year.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">消費税</div><div class="front-example-sentence-1">消費税が上がった。</div>	<div class="back-main-reading">しょうひぜい</div><div class="back-main-english">A consumption tax</div><div class="back-example-sentence-1-reading">しょうひぜいがあがった。</div><div class="back-example-sentence-1-english">The consumption tax went up.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">税関</div><div class="front-example-sentence-1">空港の税関で荷物を調べられた。</div>	<div class="back-main-reading">ぜいかん</div><div class="back-main-english">Customs</div><div class="back-example-sentence-1-reading">くうこうのぜいかんでにもつをしらべられた。</div><div class="back-example-sentence-1-english">My luggage was inspected at customs at the airport.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">課税</div><div class="front-example-sentence-1">高額商品には課税される。</div>	<div class="back-main-reading">かぜい</div><div class="back-main-english">Taxation</div><div class="back-example-sentence-1-reading">こうがくしょうひんにはかぜいされる。</div><div class="back-example-sentence-1-english">High-value goods are taxed.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">定価</div><div class="front-example-sentence-1">この本の定価は2000円だ。</div>	<div class="back-main-reading">ていか</div><div class="back-main-english">A fixed price</div><div class="back-example-sentence-1-reading">このほんのていかは2000えんだ。</div><div class="back-example-sentence-1-english">The list price of this book is 2000 yen.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">物価</div><div class="front-example-sentence-1">東京は物価が高い。</div>	<div class="back-main-reading">ぶっか</div><div class="back-main-english">Price/cost of living</div><div class="back-example-sentence-1-reading">とうきょうはぶっかがたかい。</div><div class="back-example-sentence-1-english">The cost of living in Tokyo is high.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">価格</div><div class="front-example-sentence-1">商品の価格を比較した。</div>	<div class="back-main-reading">かかく</div><div class="back-main-english">A price</div><div class="back-example-sentence-1-reading">しょうひんのかかくをひかくした。</div><div class="back-example-sentence-1-english">I compared the prices of the products.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">性格</div><div class="front-example-sentence-1">彼女は明るい性格だ。</div>	<div class="back-main-reading">せいかく</div><div class="back-main-english">Character/personality</div><div class="back-example-sentence-1-reading">かのじょはあかるいせいかくだ。</div><div class="back-example-sentence-1-english">She has a cheerful personality.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">超える</div><div class="front-example-sentence-1">参加者は千人を超えた。</div>	<div class="back-main-reading">こえる</div><div class="back-main-english">Get over/exceed</div><div class="back-example-sentence-1-reading">さんかしゃはせんにんをこえた。</div><div class="back-example-sentence-1-english">The number of participants exceeded a thousand.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">超過</div><div class="front-example-sentence-1">荷物の重量が超過した。</div>	<div class="back-main-reading">ちょうか</div><div class="back-main-english">Excess/surplus</div><div class="back-example-sentence-1-reading">にもつのじゅうりょうがちょうかした。</div><div class="back-example-sentence-1-english">The luggage weight was over the limit.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">超す</div><div class="front-example-sentence-1">気温が30度を超した。</div>	<div class="back-main-reading">こす</div><div class="back-main-english">Cross/pass/exceed</div><div class="back-example-sentence-1-reading">きおんが30どをこした。</div><div class="back-example-sentence-1-english">The temperature exceeded 30 degrees.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">平均</div><div class="front-example-sentence-1">平均年齢を調べた。</div>	<div class="back-main-reading">へいきん</div><div class="back-main-english">An average</div><div class="back-example-sentence-1-reading">へいきんねんれいをしらべた。</div><div class="back-example-sentence-1-english">I checked the average age.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">均一</div><div class="front-example-sentence-1">この店は均一価格だ。</div>	<div class="back-main-reading">きんいつ</div><div class="back-main-english">Uniformity</div><div class="back-example-sentence-1-reading">このみせはきんいつかかくだ。</div><div class="back-example-sentence-1-english">This store has uniform pricing.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">靴</div><div class="front-example-sentence-1">新しい靴を買った。</div>	<div class="back-main-reading">くつ</div><div class="back-main-english">Shoes</div><div class="back-example-sentence-1-reading">あたらしいくつをかった。</div><div class="back-example-sentence-1-english">I bought new shoes.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">長靴</div><div class="front-example-sentence-1">雨の日は長靴をはく。</div>	<div class="back-main-reading">ながぐつ</div><div class="back-main-english">Boots</div><div class="back-example-sentence-1-reading">あめのひはながぐつをはく。</div><div class="back-example-sentence-1-english">I wear boots on rainy days.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">靴下</div><div class="front-example-sentence-1">厚い靴下をはいた。</div>	<div class="back-main-reading">くつした</div><div class="back-main-english">Socks</div><div class="back-example-sentence-1-reading">あついくつしたをはいた。</div><div class="back-example-sentence-1-english">I wore thick socks.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">雨靴</div><div class="front-example-sentence-1">雨靴を玄関に置いた。</div>	<div class="back-main-reading">あまぐつ</div><div class="back-main-english">Rain shoes</div><div class="back-example-sentence-1-reading">あまぐつをげんかんにおいた。</div><div class="back-example-sentence-1-english">I put the rain shoes by the entrance.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">提供</div><div class="front-example-sentence-1">情報の提供をお願いします。</div>	<div class="back-main-reading">ていきょう</div><div class="back-main-english">An offer/a tender</div><div class="back-example-sentence-1-reading">じょうほうのていきょうをおねがいします。</div><div class="back-example-sentence-1-english">Please provide information.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">子供</div><div class="front-example-sentence-1">公園で子供が遊んでいる。</div>	<div class="back-main-reading">こども</div><div class="back-main-english">A child</div><div class="back-example-sentence-1-reading">こうえんでこどもがあそんでいる。</div><div class="back-example-sentence-1-english">Children are playing in the park.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">印象</div><div class="front-example-sentence-1">彼はいい印象を与えた。</div>	<div class="back-main-reading">いんしょう</div><div class="back-main-english">An impression</div><div class="back-example-sentence-1-reading">かれはいいいんしょうをあたえた。</div><div class="back-example-sentence-1-english">He made a good impression.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">対象</div><div class="front-example-sentence-1">この調査は学生を対象にしている。</div>	<div class="back-main-reading">たいしょう</div><div class="back-main-english">Object (e.g. of study)</div><div class="back-example-sentence-1-reading">このちょうさはがくせいをたいしょうにしている。</div><div class="back-example-sentence-1-english">This survey targets students.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">現象</div><div class="front-example-sentence-1">これは珍しい自然現象だ。</div>	<div class="back-main-reading">げんしょう</div><div class="back-main-english">A phenomenon</div><div class="back-example-sentence-1-reading">これはめずらしいしぜんげんしょうだ。</div><div class="back-example-sentence-1-english">This is a rare natural phenomenon.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">象</div><div class="front-example-sentence-1">動物園で象を見た。</div>	<div class="back-main-reading">ぞう</div><div class="back-main-english">An elephant</div><div class="back-example-sentence-1-reading">どうぶつえんでぞうをみた。</div><div class="back-example-sentence-1-english">I saw an elephant at the zoo.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">組織</div><div class="front-example-sentence-1">新しい組織を作った。</div>	<div class="back-main-reading">そしき</div><div class="back-main-english">An organization</div><div class="back-example-sentence-1-reading">あたらしいそしきをつくった。</div><div class="back-example-sentence-1-english">We created a new organization.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">組み合わせ</div><div class="front-example-sentence-1">試合の組み合わせが決まった。</div>	<div class="back-main-reading">くみあわせ</div><div class="back-main-english">A combination</div><div class="back-example-sentence-1-reading">しあいのくみあわせがきまった。</div><div class="back-example-sentence-1-english">The match pairings were decided.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">番組</div><div class="front-example-sentence-1">好きなテレビ番組を見た。</div>	<div class="back-main-reading">ばんぐみ</div><div class="back-main-english">A TV program</div><div class="back-example-sentence-1-reading">すきなテレビばんぐみをみた。</div><div class="back-example-sentence-1-english">I watched my favorite TV program.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">組合</div><div class="front-example-sentence-1">労働組合に加入している。</div>	<div class="back-main-reading">くみあい</div><div class="back-main-english">An association</div><div class="back-example-sentence-1-reading">ろうどうくみあいにかにゅうしている。</div><div class="back-example-sentence-1-english">I belong to a labor union.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">価値</div><div class="front-example-sentence-1">この絵には歴史的な価値がある。</div>	<div class="back-main-reading">かち</div><div class="back-main-english">Value/worth</div><div class="back-example-sentence-1-reading">このえにはれきしてきなかちがある。</div><div class="back-example-sentence-1-english">This painting has historical value.</div>	kanji::w6 kanji::w6d1 jlpt::n2
<div class="front-main">値段</div><div class="front-example-sentence-1">この靴の値段を聞いた。</div>	<div class="back-main-reading">ねだん</div><div class="back-main-english">A price</div><div class="back-example-sentence-1-reading">このくつのねだんをきいた。</div><div class="back-example-sentence-1-english">I asked the price of these shoes.</div>	kanji::w6 kanji::w6d1 jlpt::n2
