#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 7 (Sou Matome N2) — Japanese grammar and usage: Grammar patterns
<div class="front-main">〜もかまわず</div><div class="front-example-sentence-1">彼女は人目もかまわず子どものように泣いた。</div>	<div class="back-main-reading">〜もかまわず</div><div class="back-main-english-explanation">Acting without worrying about or being bothered by something</div><div class="back-example-sentence-1-reading">かのじょはひとめもかまわずこどものようにないた。</div><div class="back-example-sentence-1-english">She cried like a child without caring about how it would appear.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜もかまわず</div><div class="front-example-sentence-1">彼は靴が脱げるのもかまわず走り続けた。</div>	<div class="back-main-reading">〜もかまわず</div><div class="back-main-english-explanation">Acting without worrying about or being bothered by something</div><div class="back-example-sentence-1-reading">かれはくつがぬげるのもかまわずはしりつづけた。</div><div class="back-example-sentence-1-english">He kept running without caring that his shoes came off.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜にもかかわらず</div><div class="front-example-sentence-1">雨にもかかわらず、大勢の人々が集まった。</div>	<div class="back-main-reading">〜にもかかわらず</div><div class="back-main-english-explanation">Doing something despite an obstacle or unexpected situation</div><div class="back-example-sentence-1-reading">あめにもかかわらず、おおぜいのひとびとがあつまった。</div><div class="back-example-sentence-1-english">Despite the rain, many people gathered.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜にもかかわらず</div><div class="front-example-sentence-1">見たにもかかわらず、彼は見なかったと言った。</div>	<div class="back-main-reading">〜にもかかわらず</div><div class="back-main-english-explanation">Doing something despite an obstacle or unexpected situation</div><div class="back-example-sentence-1-reading">みたにもかかわらず、かれはみなかったといった。</div><div class="back-example-sentence-1-english">Though he saw it, he said he didn't.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜にかかわらず／〜にかかわりなく</div><div class="front-example-sentence-1">来る来ないにかかわらず、連絡をください。</div>	<div class="back-main-reading">〜にかかわらず／〜にかかわりなく</div><div class="back-main-english-explanation">Doing something regardless of conditions (whether X or Y, age, etc.)</div><div class="back-example-sentence-1-reading">くるこないにかかわらず、れんらくをください。</div><div class="back-example-sentence-1-english">Please contact me regardless of whether you are coming or not.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜にかかわらず／〜にかかわりなく</div><div class="front-example-sentence-1">国籍にかかわらず、歓迎します。</div>	<div class="back-main-reading">〜にかかわらず／〜にかかわりなく</div><div class="back-main-english-explanation">Doing something regardless of conditions (whether X or Y, age, etc.)</div><div class="back-example-sentence-1-reading">こくせきにかかわらず、かんげいします。</div><div class="back-example-sentence-1-english">We welcome anyone regardless of nationality.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜を問わず</div><div class="front-example-sentence-1">年齢を問わず多くの人々が集まった。</div>	<div class="back-main-reading">〜をとわず</div><div class="back-main-english-explanation">A condition (age, gender, etc.) does not matter for the action</div><div class="back-example-sentence-1-reading">ねんれいをとわずおおくのひとびとがあつまった。</div><div class="back-example-sentence-1-english">Many people of different ages gathered.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜を問わず</div><div class="front-example-sentence-1">経験の有無を問わず、募集。</div>	<div class="back-main-reading">〜をとわず</div><div class="back-main-english-explanation">A condition (age, gender, etc.) does not matter for the action</div><div class="back-example-sentence-1-reading">けいけんのうむをとわず、ぼしゅう。</div><div class="back-example-sentence-1-english">We are accepting applications, regardless of experience.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜を問わず</div><div class="front-example-sentence-1">性別は問いません。</div>	<div class="back-main-reading">〜をとわず</div><div class="back-main-english-explanation">A condition (age, gender, etc.) does not matter for the action</div><div class="back-example-sentence-1-reading">せいべつはといません。</div><div class="back-example-sentence-1-english">Regardless of gender.</div>	grammar::w7 grammar::w7d1 jlpt::n2 type::grammar
<div class="front-main">〜やら〜やら</div><div class="front-example-sentence-1">机の上は本やらノートやらでいっぱいだ。</div>	<div class="back-main-reading">〜やら〜やら</div><div class="back-main-english-explanation">Listing examples, often overwhelming or chaotic</div><div class="back-example-sentence-1-reading">つくえのうえはほんやらノートやらでいっぱいだ。</div><div class="back-example-sentence-1-english">The desk is covered with books, notebooks, and so on.</div>	grammar::w7 grammar::w7d2 jlpt::n2 type::grammar
<div class="front-main">〜やら〜やら</div><div class="front-example-sentence-1">この季節は、目がかゆいやら鼻水が出るやら、大変です。</div>	<div class="back-main-reading">〜やら〜やら</div><div class="back-main-english-explanation">Listing examples, often overwhelming or chaotic</div><div class="back-example-sentence-1-reading">このきせつは、めがかゆいやらはなみずがでるやら、たいへんです。</div><div class="back-example-sentence-1-english">This season is hard because of things like itchy eyes and a runny nose.</div>	grammar::w7 grammar::w7d2 jlpt::n2 type::grammar
<div class="front-main">〜につけ〜につけ</div><div class="front-example-sentence-1">写真を見るにつけ、国を思い出す。</div>	<div class="back-main-reading">〜につけ〜につけ</div><div class="back-main-english-explanation">Whether doing X or Y; in every case of X or Y</div><div class="back-example-sentence-1-reading">しゃしんをみるにつけ、くにをおもいだす。</div><div class="back-example-sentence-1-english">Photos from my country make me nostalgic.</div>	grammar::w7 grammar::w7d2 jlpt::n2 type::grammar
<div class="front-main">〜につけ〜につけ</div><div class="front-example-sentence-1">いいにつけ悪いにつけ、子は親に似る。</div>	<div class="back-main-reading">〜につけ〜につけ</div><div class="back-main-english-explanation">Whether doing X or Y; in every case of X or Y</div><div class="back-example-sentence-1-reading">いいにつけわるいにつけ、こはおやににる。</div><div class="back-example-sentence-1-english">Children learn good and bad habits from their parents.</div>	grammar::w7 grammar::w7d2 jlpt::n2 type::grammar
<div class="front-main">何かにつけ</div><div class="front-example-sentence-1">大家さんには何かにつけお世話になっている。</div>	<div class="back-main-reading">なにかにつけ</div><div class="back-main-english-explanation">On every occasion / at every opportunity</div><div class="back-example-sentence-1-reading">おおやさんにはなにかにつけおせわになっている。</div><div class="back-example-sentence-1-english">I'm indebted to my landlord on every occasion.</div>	grammar::w7 grammar::w7d2 jlpt::n2 type::grammar
<div class="front-main">何かにつけ</div><div class="front-example-sentence-1">何かにつけ心配してくれる母がありがたい。</div>	<div class="back-main-reading">なにかにつけ</div><div class="back-main-english-explanation">On every occasion / at every opportunity</div><div class="back-example-sentence-1-reading">なにかにつけしんぱいしてくれるははがありがたい。</div><div class="back-example-sentence-1-english">I'm grateful for my mother, who worries about me on every occasion.</div>	grammar::w7 grammar::w7d2 jlpt::n2 type::grammar
<div class="front-main">〜にしろ〜にしろ／〜にせよ〜にせよ</div><div class="front-example-sentence-1">行くにしろ行かないにしろ、連絡してください。</div>	<div class="back-main-reading">〜にしろ〜にしろ／〜にせよ〜にせよ</div><div class="back-main-english-explanation">Whether X or Y; even if X or Y, the outcome is the same</div><div class="back-example-sentence-1-reading">いくにしろいかないにしろ、れんらくしてください。</div><div class="back-example-sentence-1-english">Please contact me regardless of whether you're going or not.</div>	grammar::w7 grammar::w7d2 jlpt::n2 type::grammar
