#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 2 (Sou Matome N2) — Vocabulary note type: Kanji, Vocabulary, Reading (Type 1 cards)
<div class="front-main">普通</div><div class="front-example-sentence-1">普通列車と急行列車では料金が違います。</div>	<div class="back-main-reading">ふつう</div><div class="back-main-english">Ordinary</div><div class="back-example-sentence-1-reading">ふつうれっしゃときゅうこうれっしゃではりょうきんがちがいます。</div><div class="back-example-sentence-1-english">Local trains and express trains have different fares.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">普段(の)</div><div class="front-example-sentence-1">普段は電車で通勤しています。</div>	<div class="back-main-reading">ふだんの</div><div class="back-main-english">Usually</div><div class="back-example-sentence-1-reading">ふだんはでんしゃでつうきんしています。</div><div class="back-example-sentence-1-english">I usually commute by train.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">回数券</div><div class="front-example-sentence-1">バスの回数券を10枚まとめて買うと安くなる。</div>	<div class="back-main-reading">かいすうけん</div><div class="back-main-english">Commuter ticket</div><div class="back-example-sentence-1-reading">バスのかいすうけんを10まいまとめてかうとやすくなる。</div><div class="back-example-sentence-1-english">If you buy ten bus coupon tickets together, it becomes cheaper.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">旅券</div><div class="front-example-sentence-1">海外旅行には旅券が必要です。</div>	<div class="back-main-reading">りょけん</div><div class="back-main-english">Passport</div><div class="back-example-sentence-1-reading">かいがいりょこうにはりょけんがひつようです。</div><div class="back-example-sentence-1-english">A passport is necessary for overseas travel.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">乗車券</div><div class="front-example-sentence-1">乗車券だけでなく、特急券も必要です。</div>	<div class="back-main-reading">じょうしゃけん</div><div class="back-main-english">Boarding ticket</div><div class="back-example-sentence-1-reading">じょうしゃけんだけでなく、とっきゅうけんもひつようです。</div><div class="back-example-sentence-1-english">You need not only a boarding ticket but also an express ticket.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">発券</div><div class="front-example-sentence-1">この機械で切符の発券ができます。</div>	<div class="back-main-reading">はっけん</div><div class="back-main-english">Issue of a ticket</div><div class="back-example-sentence-1-reading">このきかいできっぷのはっけんができます。</div><div class="back-example-sentence-1-english">You can issue tickets with this machine.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">数字</div><div class="front-example-sentence-1">画面に表示された数字を確認してください。</div>	<div class="back-main-reading">すうじ</div><div class="back-main-english">Number</div><div class="back-example-sentence-1-reading">がめんにひょうじされたすうじをかくにんしてください。</div><div class="back-example-sentence-1-english">Please check the number displayed on the screen.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">点数</div><div class="front-example-sentence-1">今回のテストは点数が低かった。</div>	<div class="back-main-reading">てんすう</div><div class="back-main-english">Score/points</div><div class="back-example-sentence-1-reading">こんかいのテストはてんすうがひくかった。</div><div class="back-example-sentence-1-english">My score was low on this test.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">飛行機</div><div class="front-example-sentence-1">飛行機や電車などを交通機関という。</div>	<div class="back-main-reading">ひこうき</div><div class="back-main-english">Airplane</div><div class="back-example-sentence-1-reading">ひこうきやでんしゃなどをこうつうきかんという。</div><div class="back-example-sentence-1-english">Airplanes, trains, and the like are called means of transportation.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">自動券売機</div><div class="front-example-sentence-1">自動券売機で切符を買ってください。</div>	<div class="back-main-reading">じどうけんばいき</div><div class="back-main-english">Automatic ticket machine</div><div class="back-example-sentence-1-reading">じどうけんばいきできっぷをかってください。</div><div class="back-example-sentence-1-english">Please buy a ticket at the automatic ticket machine.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">交通機関</div><div class="front-example-sentence-1">飛行機や電車などを交通機関という。</div>	<div class="back-main-reading">こうつうきかん</div><div class="back-main-english">Means of transportation</div><div class="back-example-sentence-1-reading">ひこうきやでんしゃなどをこうつうきかんという。</div><div class="back-example-sentence-1-english">Airplanes, trains, and the like are called means of transportation.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">危機</div><div class="front-example-sentence-1">会社は経営の危機に直面している。</div>	<div class="back-main-reading">きき</div><div class="back-main-english">Crisis</div><div class="back-example-sentence-1-reading">かいしゃはけいえいのききにちょくめんしている。</div><div class="back-example-sentence-1-english">The company is facing a management crisis.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">復習</div><div class="front-example-sentence-1">勉強したところを、もう一度復習しましょう。</div>	<div class="back-main-reading">ふくしゅう</div><div class="back-main-english">Review</div><div class="back-example-sentence-1-reading">べんきょうしたところを、もういちどふくしゅうしましょう。</div><div class="back-example-sentence-1-english">Let's review the part we studied once more.</div>	kanji::w2 kanji::w2d1 jlpt::n2
<div class="front-main">回復</div><div class="front-example-sentence-1">手術後、体力の回復には時間がかかる。</div>	<div class="back-main-reading">かいふく</div><div class="back-main-english">Recovery/recuperation</div><div class="back-example-sentence-1-reading">しゅじゅつご、たいりょくのかいふくにはじかんがかかる。</div><div class="back-example-sentence-1-english">After surgery, it takes time to recover one's physical strength.</div>	kanji::w2 kanji::w2d1 jlpt::n2
