#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 1 (Sou Matome N2) — Grammar and Usage note type: Grammar, Keigo, Contrast, Contraction, Idiom (Type 2 cards)
<div class="front-main">〜げ</div><div class="front-example-sentence-1">あの人はさびしげな目をしている。</div>	<div class="back-main-reading">〜げ</div><div class="back-main-english-explanation">seems / looks like</div><div class="back-example-sentence-1-reading">あのひとはさびしげなめをしている。</div><div class="back-example-sentence-1-english">That person has a lonely look in his eye.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜げ</div><div class="front-example-sentence-1">彼は何か言いたげだった。</div>	<div class="back-main-reading">〜げ</div><div class="back-main-english-explanation">seems / looks like</div><div class="back-example-sentence-1-reading">かれはなにかいいたげだった。</div><div class="back-example-sentence-1-english">He looked like he wanted to say something.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜がち</div><div class="front-example-sentence-1">私は子どもの頃、病気がちだった。</div>	<div class="back-main-reading">〜がち</div><div class="back-main-english-explanation">tend to / often</div><div class="back-example-sentence-1-reading">わたしはこどものころ、びょうきがちだった。</div><div class="back-example-sentence-1-english">I tended to get sick when I was a child.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜がち</div><div class="front-example-sentence-1">最近、彼は仕事を休みがちだ。</div>	<div class="back-main-reading">〜がち</div><div class="back-main-english-explanation">tend to / often</div><div class="back-example-sentence-1-reading">さいきん、かれはしごとをやすみがちだ。</div><div class="back-example-sentence-1-english">He has been taking a lot of days off work recently.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜っぽい</div><div class="front-example-sentence-1">年を取ると、忘れっぽくなる。</div>	<div class="back-main-reading">〜っぽい</div><div class="back-main-english-explanation">-ish / tends to / looks like</div><div class="back-example-sentence-1-reading">としをとると、わすれっぽくなる。</div><div class="back-example-sentence-1-english">As you get older, you become more forgetful.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜っぽい</div><div class="front-example-sentence-1">このコート、デザインはいいけれど、生地が安っぽいね。</div>	<div class="back-main-reading">〜っぽい</div><div class="back-main-english-explanation">-ish / tends to / looks like</div><div class="back-example-sentence-1-reading">このコート、デザインはいいけれど、きじがやすっぽいね。</div><div class="back-example-sentence-1-english">This coat has a nice design, but the material looks cheap.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜気味</div><div class="front-example-sentence-1">残業続きで疲れ気味だ。</div>	<div class="back-main-reading">〜ぎみ</div><div class="back-main-english-explanation">a touch of / slightly</div><div class="back-example-sentence-1-reading">ざんぎょうつづきでつかれぎみだ。</div><div class="back-example-sentence-1-english">I've been feeling rather tired, because of continuous overtime work.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜気味</div><div class="front-example-sentence-1">新入社員は緊張気味の顔をしていた。</div>	<div class="back-main-reading">〜ぎみ</div><div class="back-main-english-explanation">a touch of / slightly</div><div class="back-example-sentence-1-reading">しんにゅうしゃいんはきんちょうぎみのかおをしていた。</div><div class="back-example-sentence-1-english">The new employee looked a little bit nervous.</div>	grammar::w1 grammar::w1d1 jlpt::n2 type::grammar
<div class="front-main">〜ものなら / もんなら</div><div class="front-example-sentence-1">帰れるものなら、今すぐ、国へ帰りたい。</div>	<div class="back-main-reading">〜ものなら / もんなら</div><div class="back-main-english-explanation">if I could...</div><div class="back-example-sentence-1-reading">かえれるものなら、いますぐ、くにへかえりたい。</div><div class="back-example-sentence-1-english">If I could, I'd like to go back to my country right now.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">〜ものなら / もんなら</div><div class="front-example-sentence-1">やれるもんなら、やってみろ。</div>	<div class="back-main-reading">〜ものなら / もんなら</div><div class="back-main-english-explanation">if I could...</div><div class="back-example-sentence-1-reading">やれるもんなら、やってみろ。</div><div class="back-example-sentence-1-english">If you can do it, then let's see you try.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">〜ものだから / もんだから</div><div class="front-example-sentence-1">上着を脱いでもいいですか。暑いものですから。</div>	<div class="back-main-reading">〜ものだから / もんだから</div><div class="back-main-english-explanation">because / the reason is</div><div class="back-example-sentence-1-reading">うわぎをぬいでもいいですか。あついものですから。</div><div class="back-example-sentence-1-english">Can I take my jacket off? I'm feeling a bit hot.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">〜ものだから / もんだから</div><div class="front-example-sentence-1">遅くなってごめん。道路が混んでいたもんだから。</div>	<div class="back-main-reading">〜ものだから / もんだから</div><div class="back-main-english-explanation">because / the reason is</div><div class="back-example-sentence-1-reading">おそくなってごめん。どうろがこんでいたもんだから。</div><div class="back-example-sentence-1-english">I'm sorry I'm late. I got caught in a traffic jam.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">〜(んだ)もの / もん</div><div class="front-example-sentence-1">パーティーには行かなかったよ。知らなかった(んだ)もの。</div>	<div class="back-main-reading">〜(んだ)もの / もん</div><div class="back-main-english-explanation">because [emphatic, casual]</div><div class="back-example-sentence-1-reading">パーティーにはいかなかったよ。しらなかった(んだ)もの。</div><div class="back-example-sentence-1-english">I didn't go to the party, because I didn't know it was on.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">〜(んだ)もの / もん</div><div class="front-example-sentence-1">しょうがないよ。子ども(なん)だもん。</div>	<div class="back-main-reading">〜(んだ)もの / もん</div><div class="back-main-english-explanation">because [emphatic, casual]</div><div class="back-example-sentence-1-reading">しょうがないよ。こども(なん)だもん。</div><div class="back-example-sentence-1-english">It can't be helped. He's just a kid.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">〜ものの</div><div class="front-example-sentence-1">車の免許は持っているものの、ほとんど運転したことがない。</div>	<div class="back-main-reading">〜ものの</div><div class="back-main-english-explanation">although / but</div><div class="back-example-sentence-1-reading">くるまのめんきょはもっているものの、ほとんどうんてんしたことがない。</div><div class="back-example-sentence-1-english">Although I have a driver's license, I have almost never driven.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">〜ものの</div><div class="front-example-sentence-1">申し込みはしたものの、試験を受けるかどうか未定だ。</div>	<div class="back-main-reading">〜ものの</div><div class="back-main-english-explanation">although / but</div><div class="back-example-sentence-1-reading">もうしこみはしたものの、しけんをうけるかどうかみていだ。</div><div class="back-example-sentence-1-english">Although I applied, I haven't decided whether I'll take the test.</div>	grammar::w1 grammar::w1d2 jlpt::n2 type::grammar
<div class="front-main">N はもとより 〜も 【硬い / formal】</div><div class="front-example-sentence-1">うちには、車はもとより自転車もないんです。</div>	<div class="back-main-reading">N はもとより 〜も 【硬い / formal】</div><div class="back-main-english-explanation">let alone / not to mention</div><div class="back-example-sentence-1-reading">うちには、くるまはもとよりじてんしゃもないんです。</div><div class="back-example-sentence-1-english">My family doesn't have a bicycle, let alone a car.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">N はもとより 〜も 【硬い / formal】</div><div class="front-example-sentence-1">レタスはサラダで食べるのはもとより、炒めてもおいしい。</div>	<div class="back-main-reading">N はもとより 〜も 【硬い / formal】</div><div class="back-main-english-explanation">let alone / not to mention</div><div class="back-example-sentence-1-reading">レタスはサラダでたべるのはもとより、いためてもおいしい。</div><div class="back-example-sentence-1-english">Lettuce is of course good in salad, but it is good in a stir-fry too.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">N1はともかく(として)</div><div class="front-example-sentence-1">母の料理は見た目はともかく味はおいしい。</div>	<div class="back-main-reading">N1はともかく(として)</div><div class="back-main-english-explanation">whether... or not / setting aside</div><div class="back-example-sentence-1-reading">ははのりょうりはみためはともかくあじはおいしい。</div><div class="back-example-sentence-1-english">Whether it looks good or not, my mother's cooking tastes good.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">N1はともかく(として)</div><div class="front-example-sentence-1">あの女優は、顔はともかくとして演技がすばらしい。</div>	<div class="back-main-reading">N1はともかく(として)</div><div class="back-main-english-explanation">whether... or not / setting aside</div><div class="back-example-sentence-1-reading">あのじょゆうは、かおはともかくとしてえんぎがすばらしい。</div><div class="back-example-sentence-1-english">Whether she is good-looking or not, she is a great actress.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">N は / N なら + まだしも</div><div class="front-example-sentence-1">私の英語力では、旅行はまだしも、留学なんて無理です。</div>	<div class="back-main-reading">N は / N なら + まだしも</div><div class="back-main-english-explanation">...would be one thing, but</div><div class="back-example-sentence-1-reading">わたしのえいごりょくでは、りょこうはまだしも、りゅうがくなんてむりです。</div><div class="back-example-sentence-1-english">With my English skills, I can handle travelling but not studying abroad.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">N は / N なら + まだしも</div><div class="front-example-sentence-1">10分や20分ならまだしも、1時間も待てません。</div>	<div class="back-main-reading">N は / N なら + まだしも</div><div class="back-main-english-explanation">...would be one thing, but</div><div class="back-example-sentence-1-reading">10ぷんや20ぷんならまだしも、1じかんもまてません。</div><div class="back-example-sentence-1-english">I can wait for ten or twenty minutes, but not for an hour.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">N(を)抜きにして / 抜きで / 抜きに / 抜きのN</div><div class="front-example-sentence-1">皆さん、仕事の話は抜きにして楽しく飲みましょう。</div>	<div class="back-main-reading">Nを ぬきにして / ぬきで / ぬきに / ぬきのN</div><div class="back-main-english-explanation">without / leaving out</div><div class="back-example-sentence-1-reading">みなさん、しごとのはなしはぬきにしてたのしくのみましょう。</div><div class="back-example-sentence-1-english">Everyone, let's enjoy drinking and forget about work.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">N(を)抜きにして / 抜きで / 抜きに / 抜きのN</div><div class="front-example-sentence-1">お世辞抜きに、君の日本語は本当にうまいよ。</div>	<div class="back-main-reading">Nを ぬきにして / ぬきで / ぬきに / ぬきのN</div><div class="back-main-english-explanation">without / leaving out</div><div class="back-example-sentence-1-reading">おせじぬきに、きみのにほんごはほんとうにうまいよ。</div><div class="back-example-sentence-1-english">I am not flattering you. Your Japanese is really good.</div>	grammar::w1 grammar::w1d3 jlpt::n2 type::grammar
<div class="front-main">〜てたまらない</div><div class="front-example-sentence-1">子どものことが心配でたまらない。</div>	<div class="back-main-reading">〜てたまらない</div><div class="back-main-english-explanation">can't stand / extremely</div><div class="back-example-sentence-1-reading">こどものことがしんぱいでたまらない。</div><div class="back-example-sentence-1-english">I am so worried about my children.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
<div class="front-main">〜てたまらない</div><div class="front-example-sentence-1">家族に会いたくてたまらない。</div>	<div class="back-main-reading">〜てたまらない</div><div class="back-main-english-explanation">can't stand / extremely</div><div class="back-example-sentence-1-reading">かぞくにあいたくてたまらない。</div><div class="back-example-sentence-1-english">I can't wait to see my family.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
<div class="front-main">〜て仕方がない / しょうがない</div><div class="front-example-sentence-1">今日は何もすることがなくて、ひまで仕方がない。</div>	<div class="back-main-reading">〜てしかたがない / しょうがない</div><div class="back-main-english-explanation">extremely / can't help</div><div class="back-example-sentence-1-reading">きょうはなにもすることがなくて、ひまでしかたがない。</div><div class="back-example-sentence-1-english">I have nothing to do today. I'm so bored.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
<div class="front-main">〜て仕方がない / しょうがない</div><div class="front-example-sentence-1">そんな方法では、時間がかかってしょうがない。</div>	<div class="back-main-reading">〜てしかたがない / しょうがない</div><div class="back-main-english-explanation">extremely / can't help</div><div class="back-example-sentence-1-reading">そんなほうほうでは、じかんがかかってしょうがない。</div><div class="back-example-sentence-1-english">It will take you forever to do it that way.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
<div class="front-main">〜てかなわない 【硬い / formal】</div><div class="front-example-sentence-1">隣の工事がうるさくてかなわない。</div>	<div class="back-main-reading">〜てかなわない 【硬い / formal】</div><div class="back-main-english-explanation">can't stand / unbearable</div><div class="back-example-sentence-1-reading">となりのこうじがうるさくてかなわない。</div><div class="back-example-sentence-1-english">I can't stand the noise from the construction next door.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
<div class="front-main">〜てかなわない 【硬い / formal】</div><div class="front-example-sentence-1">私の家は、駅から遠くて不便でかなわない。</div>	<div class="back-main-reading">〜てかなわない 【硬い / formal】</div><div class="back-main-english-explanation">can't stand / unbearable</div><div class="back-example-sentence-1-reading">わたしのいえは、えきからとおくてふべんでかなわない。</div><div class="back-example-sentence-1-english">I can't stand how inconvenient it is that my house is so far from the station.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
<div class="front-main">〜てならない 【硬い / formal】</div><div class="front-example-sentence-1">親友の結婚式に出席できないのが、残念でならない。</div>	<div class="back-main-reading">〜てならない 【硬い / formal】</div><div class="back-main-english-explanation">extremely / can't help</div><div class="back-example-sentence-1-reading">しんゆうのけっこんしきにしゅっせきできないのが、ざんねんでならない。</div><div class="back-example-sentence-1-english">I am so disappointed that I won't be able to attend my friend's wedding.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
<div class="front-main">〜てならない 【硬い / formal】</div><div class="front-example-sentence-1">検査の結果が気になってならない。</div>	<div class="back-main-reading">〜てならない 【硬い / formal】</div><div class="back-main-english-explanation">extremely / can't help</div><div class="back-example-sentence-1-reading">けんさのけっかがきになってならない。</div><div class="back-example-sentence-1-english">I am really concerned about the results of my physical exam.</div>	grammar::w1 grammar::w1d4 jlpt::n2 type::grammar
