#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 7 (Sou Matome N2) — Japanese vocabulary: Kanji-only split deck, grouped by day
<div class="front-main">求人</div><div class="front-example-sentence-1">求人広告を見てこの会社に応募した。</div>	<div class="back-main-reading">きゅうじん</div><div class="back-main-english">Help wanted</div><div class="back-example-sentence-1-reading">きゅうじんこうこくをみてこのかいしゃにおうぼした。</div><div class="back-example-sentence-1-english">I applied to this company after seeing a job ad.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">要求</div><div class="front-example-sentence-1">労働組合が賃上げを要求した。</div>	<div class="back-main-reading">ようきゅう</div><div class="back-main-english">Demand/request</div><div class="back-example-sentence-1-reading">ろうどうくみあいがちんあげをようきゅうした。</div><div class="back-example-sentence-1-english">The labor union demanded a pay raise.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">求める</div><div class="front-example-sentence-1">会社に改善を求める手紙を書いた。</div>	<div class="back-main-reading">もとめる</div><div class="back-main-english">Demand/request</div><div class="back-example-sentence-1-reading">かいしゃにかいぜんをもとめるてがみをかいた。</div><div class="back-example-sentence-1-english">I wrote a letter to the company demanding improvement.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">簡単</div><div class="front-example-sentence-1">この料理は簡単に作れる。</div>	<div class="back-main-reading">かんたんな</div><div class="back-main-english">Easy/simple</div><div class="back-example-sentence-1-reading">このりょうりはかんたんにつくれる。</div><div class="back-example-sentence-1-english">This dish can be made easily.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">単語</div><div class="front-example-sentence-1">毎日新しい単語を覚える。</div>	<div class="back-main-reading">たんご</div><div class="back-main-english">Word</div><div class="back-example-sentence-1-reading">まいにちあたらしいたんごをおぼえる。</div><div class="back-example-sentence-1-english">I learn new words every day.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">単位</div><div class="front-example-sentence-1">卒業に必要な単位を取った。</div>	<div class="back-main-reading">たんい</div><div class="back-main-english">Unit/credit</div><div class="back-example-sentence-1-reading">そつぎょうにひつようなたんいをとった。</div><div class="back-example-sentence-1-english">I earned the credits needed to graduate.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">単なる</div><div class="front-example-sentence-1">単なるうわさにすぎない。</div>	<div class="back-main-reading">たんなる</div><div class="back-main-english">Mere/simple</div><div class="back-example-sentence-1-reading">たんなるうわさにすぎない。</div><div class="back-example-sentence-1-english">It's nothing more than a mere rumor.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">許可</div><div class="front-example-sentence-1">駐車の許可をもらった。</div>	<div class="back-main-reading">きょか</div><div class="back-main-english">Permission</div><div class="back-example-sentence-1-reading">ちゅうしゃのきょかをもらった。</div><div class="back-example-sentence-1-english">I got permission to park.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">免許</div><div class="front-example-sentence-1">運転免許を取った。</div>	<div class="back-main-reading">めんきょ</div><div class="back-main-english">Permit/license</div><div class="back-example-sentence-1-reading">うんてんめんきょをとった。</div><div class="back-example-sentence-1-english">I got a driver's license.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">給料</div><div class="front-example-sentence-1">毎月25日に給料をもらう。</div>	<div class="back-main-reading">きゅうりょう</div><div class="back-main-english">Wage/salary</div><div class="back-example-sentence-1-reading">まいつき25にちにきゅうりょうをもらう。</div><div class="back-example-sentence-1-english">I get paid on the 25th of every month.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">供給</div><div class="front-example-sentence-1">水の供給が止まった。</div>	<div class="back-main-reading">きょうきゅう</div><div class="back-main-english">Supply/provision</div><div class="back-example-sentence-1-reading">みずのきょうきゅうがとまった。</div><div class="back-example-sentence-1-english">The water supply stopped.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">給与</div><div class="front-example-sentence-1">給与明細を確認した。</div>	<div class="back-main-reading">きゅうよ</div><div class="back-main-english">Allowance</div><div class="back-example-sentence-1-reading">きゅうよめいさいをかくにんした。</div><div class="back-example-sentence-1-english">I checked my pay statement.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">月給</div><div class="front-example-sentence-1">月給制の会社で働いている。</div>	<div class="back-main-reading">げっきゅう</div><div class="back-main-english">Monthly wage</div><div class="back-example-sentence-1-reading">げっきゅうせいのかいしゃではたらいている。</div><div class="back-example-sentence-1-english">I work at a company with a monthly salary system.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">週給</div><div class="front-example-sentence-1">このアルバイトは週給で支払われる。</div>	<div class="back-main-reading">しゅうきゅう</div><div class="back-main-english">Weekly wage</div><div class="back-example-sentence-1-reading">このアルバイトはしゅうきゅうでしはらわれる。</div><div class="back-example-sentence-1-english">This part-time job pays weekly.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">日給</div><div class="front-example-sentence-1">日給1万円の仕事を見つけた。</div>	<div class="back-main-reading">にっきゅう</div><div class="back-main-english">Daily wage</div><div class="back-example-sentence-1-reading">にっきゅう1まんえんのしごとをみつけた。</div><div class="back-example-sentence-1-english">I found a job with a daily wage of 10,000 yen.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">与える</div><div class="front-example-sentence-1">子どもに影響を与える言葉に気をつける。</div>	<div class="back-main-reading">あたえる</div><div class="back-main-english">Give/present</div><div class="back-example-sentence-1-reading">こどもにえいきょうをあたえることばにきをつける。</div><div class="back-example-sentence-1-english">Be careful with words that influence children.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">応用</div><div class="front-example-sentence-1">基礎を応用して問題を解く。</div>	<div class="back-main-reading">おうよう</div><div class="back-main-english">Practical use/application</div><div class="back-example-sentence-1-reading">きそをおうようしてもんだいをとく。</div><div class="back-example-sentence-1-english">I apply the basics to solve the problem.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">応じる</div><div class="front-example-sentence-1">相談に応じます。</div>	<div class="back-main-reading">おうじる</div><div class="back-main-english">Respond</div><div class="back-example-sentence-1-reading">そうだんにおうじます。</div><div class="back-example-sentence-1-english">I will respond to consultations.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">課</div><div class="front-example-sentence-1">総務課に配属された。</div>	<div class="back-main-reading">か</div><div class="back-main-english">Lesson/section</div><div class="back-example-sentence-1-reading">そうむかにはいぞくされた。</div><div class="back-example-sentence-1-english">I was assigned to the general affairs section.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">日課</div><div class="front-example-sentence-1">散歩が私の日課だ。</div>	<div class="back-main-reading">にっか</div><div class="back-main-english">Daily lesson/task</div><div class="back-example-sentence-1-reading">さんぽがわたしのにっかだ。</div><div class="back-example-sentence-1-english">Walking is my daily routine.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">課程</div><div class="front-example-sentence-1">博士課程に進んだ。</div>	<div class="back-main-reading">かてい</div><div class="back-main-english">Course/curriculum</div><div class="back-example-sentence-1-reading">はかせかていにすすんだ。</div><div class="back-example-sentence-1-english">I advanced to the doctoral program.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">過程</div><div class="front-example-sentence-1">成長の過程を見守る。</div>	<div class="back-main-reading">かてい</div><div class="back-main-english">Process/course</div><div class="back-example-sentence-1-reading">せいちょうのかていをみまもる。</div><div class="back-example-sentence-1-english">I watch over the process of growth.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">程度</div><div class="front-example-sentence-1">ある程度の知識が必要だ。</div>	<div class="back-main-reading">ていど</div><div class="back-main-english">Degree/amount</div><div class="back-example-sentence-1-reading">あるていどのちしきがひつようだ。</div><div class="back-example-sentence-1-english">A certain degree of knowledge is necessary.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">日程</div><div class="front-example-sentence-1">旅行の日程を決めた。</div>	<div class="back-main-reading">にってい</div><div class="back-main-english">Schedule</div><div class="back-example-sentence-1-reading">りょこうのにっていをきめた。</div><div class="back-example-sentence-1-english">I decided on the trip's schedule.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">制度</div><div class="front-example-sentence-1">新しい年金制度が始まった。</div>	<div class="back-main-reading">せいど</div><div class="back-main-english">System</div><div class="back-example-sentence-1-reading">あたらしいねんきんせいどがはじまった。</div><div class="back-example-sentence-1-english">A new pension system began.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">制限</div><div class="front-example-sentence-1">速度制限を守る。</div>	<div class="back-main-reading">せいげん</div><div class="back-main-english">Restriction/limitation</div><div class="back-example-sentence-1-reading">そくどせいげんをまもる。</div><div class="back-example-sentence-1-english">I obey the speed limit.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">制作</div><div class="front-example-sentence-1">映画の制作に携わった。</div>	<div class="back-main-reading">せいさく</div><div class="back-main-english">Work/production</div><div class="back-example-sentence-1-reading">えいがのせいさくにたずさわった。</div><div class="back-example-sentence-1-english">I was involved in the production of the movie.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">体制</div><div class="front-example-sentence-1">会社の体制が変わった。</div>	<div class="back-main-reading">たいせい</div><div class="back-main-english">System/structure</div><div class="back-example-sentence-1-reading">かいしゃのたいせいがかわった。</div><div class="back-example-sentence-1-english">The company's organizational structure changed.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">講座</div><div class="front-example-sentence-1">日本語の講座に通っている。</div>	<div class="back-main-reading">こうざ</div><div class="back-main-english">Class/course</div><div class="back-example-sentence-1-reading">にほんごのこうざにかよっている。</div><div class="back-example-sentence-1-english">I attend a Japanese language course.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">講義</div><div class="front-example-sentence-1">大学で経済学の講義を受けた。</div>	<div class="back-main-reading">こうぎ</div><div class="back-main-english">Lecture</div><div class="back-example-sentence-1-reading">だいがくでけいざいがくのこうぎをうけた。</div><div class="back-example-sentence-1-english">I took an economics lecture at university.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">講演</div><div class="front-example-sentence-1">有名な学者の講演を聞いた。</div>	<div class="back-main-reading">こうえん</div><div class="back-main-english">Lecture</div><div class="back-example-sentence-1-reading">ゆうめいながくしゃのこうえんをきいた。</div><div class="back-example-sentence-1-english">I listened to a lecture by a famous scholar.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">講師</div><div class="front-example-sentence-1">彼女はこの講座の講師だ。</div>	<div class="back-main-reading">こうし</div><div class="back-main-english">Lecturer</div><div class="back-example-sentence-1-reading">かのじょはこのこうざのこうしだ。</div><div class="back-example-sentence-1-english">She is the lecturer for this course.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">初級</div><div class="front-example-sentence-1">初級クラスから始めた。</div>	<div class="back-main-reading">しょきゅう</div><div class="back-main-english">Beginning level</div><div class="back-example-sentence-1-reading">しょきゅうクラスからはじめた。</div><div class="back-example-sentence-1-english">I started from the beginner class.</div>	kanji::w7 kanji::w7d1 jlpt::n2
<div class="front-main">中級</div><div class="front-example-sentence-1">中級レベルの教材を使っている。</div>	<div class="back-main-reading">ちゅうきゅう</div><div class="back-main-english">Intermediate level</div><div class="back-example-sentence-1-reading">ちゅうきゅうレベルのきょうざいをつかっている。</div><div class="back-example-sentence-1-english">I'm using intermediate-level materials.</div>	kanji::w7 kanji::w7d1 jlpt::n2
